Key,Russian,English
TUT_BREAK,"Ломайте ледяную залежь — <color=#ffff00>ЛКМ</color>","Break the ice deposit — <color=#ffff00>LMB</color>"
TUT_CARRY,"Отнесите добытый образец\nв <color=#ffff00>снегоход</color>","Carry the sample\nto the <color=#ffff00>snowmobile</color>"
TUT_RETURN,"Вы собрали достаточно образцов.\n<color=#00ff00>Вернитесь на базу и изучите их</color>","You have collected enough samples.\n<color=#00ff00>Return to base and analyze them</color>"
TUT_TABLE,"Возьмите образец и отнесите его\nна <color=#ffff00>исследовательский стол</color>","Take the sample and bring it\nto the <color=#ffff00>research table</color>"
TUT_SCAN_MOVE,"Крутите джойстик на <color=#ffff00>LMB</color>, найдите активные зоны на образце!","Rotate the joystick with <color=#ffff00>LMB</color>, find active zones on the sample!"
TUT_SCAN_CLICK,"Нажмите на кнопку <color=#ffff00>получить данные</color>","Press the <color=#ffff00>Record Data</color> button"
TUT_ACCURACY,"Чем точнее вы выбрали точку на минерале,\nтем точнее вы получите данные.","The more precisely you select a point on the mineral,\nthe more accurate the data you will receive."
TUT_FIND_MORE,"Найдите еще <color=#ffff00>2 точки</color>, чтобы собрать все данные","Find <color=#ffff00>2 more points</color> to collect all data"
TUT_CONCLUSION,"Сделайте вывод, к какому классу относится образец — <color=#ffff00>отправьте отчёт</color>","Determine which class the sample belongs to — <color=#ffff00>submit the report</color>"
TUT_ANOMALY_PLACE,"Поместите странный образец\nв <color=#ff3333>ящик для аномалий</color>","Place the strange sample\nin the <color=#ff3333>anomaly box</color>"
TUT_GO_TO_BED,"Лягте в кровать — нажмите <color=#ffff00>E</color>","Go to bed — press <color=#ffff00>E</color>"
TUT_Done,Готово,Done
ENDING_TEXT,"Вы видели то, что должно было остаться погребённым.\n\nРадиация и одиночество сожгли ваш разум. Вы уже не отличаете явь от бреда.\n\nКорпорация получила всё: данные, патенты, миллиарды. Вас в отчётах нет даже в сноске.\n\nВы остались здесь навсегда. Под снегом. Один.\n\nНикто не придёт.\nНикто не вспомнит.","You saw what was meant to remain buried.\n\nRadiation and solitude burned your mind away. You can no longer tell reality from delusion.\n\nThe corporation got everything: the data, the patents, the billions. You don’t even appear in the footnotes.\n\nYou stayed here forever. Under the snow. Alone.\n\nNo one is coming.\nNo one will remember."
ENDING_SECRET_TEXT, Вы пытались вырваться из ледяного плена, пока не кончилось топливо в снегоходе.\n\n Три часа спустя стало ясно: вы окончательно потерялись.\n\n Приближается ночь, холод усиливается.\n\n Снежная пустошь глотает вас без остатка — без крика, без следа.","You fought, desperately trying to break free from the icy trap until the snowmobile finally ran out of fuel and died in the drift.\n\n Three hours later it became clear: you were utterly lost.\n\nNight falls like a leaden shroud, the cold gnawing into your bones.\n\n The snowy wasteland swallows you whole — without a scream, without a trace.
AUDIO_MASTER,Громкость общая,Master Volume
AUDIO_SFX,Громкость эффектов,Sound Effects
AUDIO_AMBIENCE,Громкость окружения,Ambience
